,이용횟수
11110642.0,5
41002501.0,1
28027002.0,6
41222004.0,236
41002589.0,1
41036133.0,251
41036136.0,87
28321001.0,4
11110978.0,3
41031056.0,348
28319004.0,1
41086014.0,119
41024014.0,1
41223008.0,243
41489008.0,61
28023002.0,7
41037113.0,432
11110747.0,16
11110756.0,12
41223005.0,350
41036140.0,289
41036135.0,96
41483019.0,23
41022128.0,4
11110196.0,16
41421004.0,56
41063003.0,4
41491005.0,157
41011112.0,3
41026021.0,10
41425028.0,15
41436002.0,1
41008126.0,4
41425029.0,9
11110433.0,2
11110997.0,7
41483010.0,30
41324004.0,109
11110671.0,15
41036141.0,51
41489007.0,33
41285005.0,26
41453009.0,7
41323001.0,149
41453007.0,19
28010010.0,5
41219007.0,34
41076014.0,3
41491001.0,6
41332005.0,12
41026039.0,29
41223004.0,234
41401003.0,3
41073005.0,4
41425016.0,1
41023150.0,5
41453013.0,4
41006202.0,5
11110660.0,24
41262002.0,5
11110172.0,8
41282011.0,17
11110644.0,4
41323004.0,66
41221002.0,17
41485016.0,7
28511014.0,2
41003277.0,2
41002397.0,1
11110603.0,1
11110806.0,9
11110374.0,9
41282007.0,3
11111001.0,5
28310002.0,1
41394002.0,14
41008102.0,5
41442008.0,2
41013013.0,14
28302003.0,1
41298003.0,2
41423020.0,6
41032028.0,13
41007105.0,30
41394004.0,7
41219002.0,40
11110007.0,5
28204002.0,4
41282004.0,4
28231003.0,2
11110621.0,3
11110874.0,4
28315015.0,1
41324005.0,24
41483018.0,30
41223006.0,81
41004030.0,12
41359001.0,104
41018149.0,2
41425017.0,5
