,이용횟수
4108431.0,518
4196065.0,35
4150159.0,803
4199072.0,580
4100620.0,4
8501577.0,33
4102904.0,70
1754.0,626
4118511.0,82
4103538.0,21
4176566.0,75
4176348.0,577
4108146.0,738
4130387.0,255
4100474.0,107
4151532.0,3
4117292.0,290
4116843.0,316
1212.0,4
4135035.0,124
4160364.0,727
9011200.0,32
2617.0,30
4116696.0,732
4100130.0,644
4100062.0,213
4150353.0,135
4116957.0,79
4116720.0,791
1957.0,14
4114472.0,255
4150150.0,312
4160324.0,323
4103285.0,55
4160382.0,692
4117411.0,196
4116803.0,740
4108167.0,304
4115594.0,465
4108224.0,947
4170819.0,14
4120801.0,2
4178968.0,244
4160336.0,175
9501069.0,6
4111886.0,288
4150325.0,31
9606597.0,1
4111614.0,274
155.0,57
1014.0,33
4176963.0,764
4108199.0,285
1721.0,516
4121996.0,558
4116929.0,218
4178206.0,82
4116819.0,562
2534.0,72
4170966.0,414
4178307.0,1
1722.0,543
4170336.0,410
4111741.0,749
9176783.0,63
4197605.0,313
4120453.0,312
4100092.0,455
4123266.0,268
4120001.0,484
4100575.0,23
4170942.0,1214
9000146.0,150
4170731.0,465
4108176.0,1084
4116637.0,24
4107949.0,149
4122331.0,494
4108131.0,425
4123488.0,220
4108141.0,1060
4135067.0,204
4116784.0,78
1509.0,30
4160253.0,335
4117364.0,267
4199423.0,6
4116945.0,478
4116737.0,62
4100529.0,711
4170805.0,501
4108091.0,93
4179373.0,126
4151732.0,97
4151727.0,638
4113334.0,96
1856.0,802
4100653.0,119
4179143.0,16
334.0,32
4116604.0,2
4112032.0,346
4130089.0,42
4106975.0,2
1723.0,336
4122337.0,192
4130189.0,23
4108098.0,594
4170355.0,237
4170806.0,735
4199654.0,788
4116602.0,89
4116995.0,124
4130341.0,129
2733.0,101
4121928.0,6
8002371.0,4
4170775.0,15
4118457.0,14
4122787.0,132
4103601.0,116
4171001.0,48
4176969.0,42
4100090.0,268
4176761.0,464
4118267.0,66
4108213.0,321
4103591.0,388
4102810.0,33
4308.0,349
4176302.0,106
4110310.0,79
4117049.0,597
1701.0,556
4118510.0,8
4113627.0,241
9002554.0,5
4151634.0,378
4116893.0,1169
9006334.0,36
7892.0,6
9006332.0,129
4195698.0,56
4108096.0,825
4130489.0,127
4121010.0,481
4111623.0,544
4122258.0,68
4111737.0,207
4100564.0,669
10933.0,5
1015.0,104
4196886.0,2
4514.0,40
4135018.0,286
4102907.0,76
4102177.0,2
4116097.0,246
4179386.0,844
4113600.0,240
4107936.0,1342
4114743.0,353
4117038.0,740
4203.0,18
4116975.0,118
4121998.0,453
4114450.0,370
4107059.0,20
4170665.0,129
4100609.0,656
1450.0,79
74870.0,3
4170097.0,185
4117269.0,246
4116686.0,565
8008820.0,130
4197607.0,715
4117336.0,47
4130160.0,190
4130159.0,34
4107793.0,9
4111687.0,58
4160359.0,736
4195712.0,32
4107694.0,5
4109531.0,523
9000858.0,52
4111745.0,450
4111625.0,388
4160222.0,225
4107924.0,92
4105291.0,38
4199078.0,4
2740.0,63
4111817.0,327
4117857.0,21
4135086.0,46
1280.0,19
4117354.0,3
4116596.0,5
4199475.0,219
4130544.0,385
2723.0,24
4111738.0,335
8001573.0,33
4114328.0,318
4113876.0,2
1804.0,218
4150343.0,33
4114075.0,283
4195701.0,174
4130088.0,108
4116998.0,589
4170977.0,1365
219.0,807
4176908.0,4
4150328.0,27
4100532.0,358
9179223.0,63
4111728.0,118
4108227.0,569
4107921.0,44
4197596.0,81
4118424.0,31
4116749.0,330
4103624.0,9
4117278.0,687
4195611.0,438
4103494.0,195
4195697.0,357
4130350.0,309
4111900.0,638
4111810.0,242
1718.0,873
4176323.0,427
4179237.0,90
9008337.0,2
4117297.0,149
4116991.0,737
4105372.0,218
4130526.0,159
4197603.0,156
4120436.0,423
217.0,98
4195599.0,614
4102897.0,50
4102822.0,83
4119255.0,41
4121775.0,1110
4100562.0,665
4107950.0,346
9100650.0,106
4111918.0,67
9009907.0,10
1821.0,36
4101430.0,86
4100057.0,825
4179258.0,8
4110203.0,145
9010027.0,1
1023.0,145
4107051.0,20
154.0,109
4176475.0,399
4150113.0,93
4101019.0,19
4117029.0,288
209.0,52
4179337.0,182
1004.0,204
9008316.0,40
4170347.0,562
71985.0,15
60031.0,14
4116387.0,134
4122304.0,150
4107635.0,7
4118410.0,53
4116858.0,648
4135021.0,269
4114202.0,419
4105375.0,297
4115906.0,9
1762.0,162
8005420.0,3
4160259.0,334
4122086.0,88
4199628.0,111
4170095.0,571
4119417.0,304
4179180.0,148
4115603.0,328
4195703.0,127
4199632.0,435
9544.0,25
4122307.0,167
4122603.0,8
2724.0,16
4116270.0,61
4105377.0,204
1019.0,22
4160315.0,287
72528.0,19
4151636.0,296
4108160.0,384
4176120.0,5
4195696.0,203
4100027.0,399
4179339.0,467
4110305.0,24
4170918.0,654
4101524.0,479
4121878.0,1
4122788.0,132
4116962.0,853
4108186.0,299
4199380.0,17
4151726.0,182
4130517.0,211
7103537.0,430
231.0,118
4108088.0,805
4100021.0,307
4179364.0,74
